,precision,recall,f1-score,support
0,0.94180407371484,0.9908163265306122,0.9656887120835405,980.0
1,0.9796460176991151,0.9753303964757709,0.9774834437086093,1135.0
2,0.9026217228464419,0.9341085271317829,0.9180952380952381,1032.0
3,0.96875,0.9207920792079208,0.9441624365482234,1010.0
4,0.9572025052192067,0.9338085539714868,0.945360824742268,982.0
5,0.9160467587672688,0.9663677130044843,0.9405346426623024,892.0
6,0.9272908366533864,0.9718162839248434,0.9490316004077471,958.0
7,0.956020942408377,0.8881322957198443,0.9208270297528995,1028.0
8,0.949685534591195,0.9301848049281314,0.9398340248962656,974.0
9,0.9209209209209209,0.9117938553022795,0.9163346613545816,1009.0
accuracy,0.9421,0.9421,0.9421,0.9421
macro avg,0.9419989312820751,0.9423150836197157,0.9417352614251675,10000.0
weighted avg,0.942723297946302,0.9421,0.9419960697563152,10000.0
