,precision,recall,f1-score,support
0,0.9875647668393782,0.9724489795918367,0.9799485861182519,980.0
1,0.9850746268656716,0.9885462555066079,0.9868073878627968,1135.0
2,0.966183574879227,0.9689922480620154,0.9675858732462506,1032.0
3,0.9693675889328063,0.9712871287128713,0.970326409495549,1010.0
4,0.9592445328031809,0.9826883910386965,0.9708249496981891,982.0
5,0.9694224235560589,0.9596412556053812,0.964507042253521,892.0
6,0.9671120246659815,0.9822546972860126,0.9746245468669084,958.0
7,0.9725490196078431,0.9649805447470817,0.96875,1028.0
8,0.9488465396188566,0.971252566735113,0.9599188229325215,974.0
9,0.9783505154639175,0.9405351833498513,0.9590702374936836,1009.0
accuracy,0.9705,0.9705,0.9705,0.9705
macro avg,0.9703715613232922,0.9702627250635467,0.9702363855967672,10000.0
weighted avg,0.9706344731596084,0.9705,0.9704872795760459,10000.0
