,precision,recall,f1-score,support
0,0.6440443213296398,0.9489795918367347,0.7673267326732672,980.0
1,0.6318069306930693,0.8995594713656387,0.7422755361686659,1135.0
2,0.708,0.5145348837209303,0.595959595959596,1032.0
3,0.0,0.0,0.0,1010.0
4,0.4708904109589041,0.280040733197556,0.351213282247765,982.0
5,0.3211538461538462,0.18721973094170405,0.23654390934844197,892.0
6,0.4160714285714286,0.48643006263048016,0.44850818094321465,958.0
7,0.4642324888226528,0.6060311284046692,0.5257383966244726,1028.0
8,0.2732342007434944,0.30184804928131415,0.28682926829268296,974.0
9,0.4509043927648579,0.6917740336967294,0.5459522878373093,1009.0
accuracy,0.5005,0.5005,0.5005,0.5005
macro avg,0.4380338020037892,0.4916417685075757,0.45003471900954156,10000.0
weighted avg,0.44247239864755755,0.5005,0.4565749319726132,10000.0
