,precision,recall,f1-score,support
0,0.8366425992779783,0.9459183673469388,0.8879310344827587,980.0
1,0.8381901840490797,0.9629955947136564,0.8962689626896269,1135.0
2,0.8155111633372503,0.6724806201550387,0.7371216144450347,1032.0
3,0.7824116047144152,0.8544554455445544,0.8168480832938949,1010.0
4,0.8860335195530726,0.8075356415478615,0.8449653702717101,982.0
5,0.808066759388039,0.6513452914798207,0.7212911235257605,892.0
6,0.7608142493638677,0.9363256784968684,0.8394946186242396,958.0
7,0.8567467652495379,0.9017509727626459,0.8786729857819905,1028.0
8,0.7261072261072261,0.6396303901437371,0.6801310043668122,974.0
9,0.8301886792452831,0.7413280475718533,0.7832460732984294,1009.0
accuracy,0.8146,0.8146,0.8146,0.8146
macro avg,0.814071275028575,0.8113766049762976,0.8085970870780257,10000.0
weighted avg,0.8148463854243012,0.8146,0.8106565992709035,10000.0
