,precision,recall,f1-score,support
0,0.8441273326015367,0.7846938775510204,0.8133262823902697,980.0
1,0.8051359516616314,0.9392070484581497,0.8670191134607563,1135.0
2,0.7711496746203904,0.688953488372093,0.7277379733879222,1032.0
3,0.6663993584603047,0.8227722772277227,0.7363757199822774,1010.0
4,0.7798882681564245,0.7107942973523421,0.7437400106553009,982.0
5,0.6214470284237726,0.5392376681614349,0.5774309723889556,892.0
6,0.8,0.8851774530271399,0.8404360753221012,958.0
7,0.7803247373447947,0.7947470817120622,0.7874698795180723,1028.0
8,0.655902004454343,0.6047227926078029,0.6292735042735043,974.0
9,0.6800433839479393,0.6214073339940536,0.649404453650958,1009.0
accuracy,0.7437,0.7437,0.7437,0.7437
macro avg,0.7404417739671139,0.7391713318463822,0.7372213985030119,10000.0
weighted avg,0.7423731092754672,0.7437,0.7404130917272674,10000.0
