,precision,recall,f1-score,support
0,0.6714801444043321,0.7591836734693878,0.7126436781609194,980.0
1,0.5775041969781757,0.9092511013215859,0.7063655030800822,1135.0
2,0.6578947368421053,0.3391472868217054,0.44757033248081846,1032.0
3,0.0,0.0,0.0,1010.0
4,0.2917647058823529,0.2525458248472505,0.27074235807860264,982.0
5,0.27386934673366836,0.12219730941704036,0.16899224806201552,892.0
6,0.4476275738585497,0.5219206680584552,0.4819277108433735,958.0
7,0.37206085753803597,0.2616731517509728,0.30725299828669334,1028.0
8,0.18721872187218722,0.2135523613963039,0.1995203836930456,974.0
9,0.2670598146588037,0.6283448959365708,0.3748152527342595,1009.0
accuracy,0.4094,0.4094,0.4094,0.4094
macro avg,0.37464800987682106,0.40078162730192723,0.36698304654198105,10000.0
weighted avg,0.37863897373702654,0.4094,0.3728682587570871,10000.0
