,precision,recall,f1-score,support
0,0.954679802955665,0.9887755102040816,0.9714285714285714,980.0
1,0.9841269841269841,0.9832599118942731,0.9836932569413839,1135.0
2,0.9289772727272727,0.9505813953488372,0.9396551724137931,1032.0
3,0.9516288252714709,0.9544554455445544,0.9530400395452299,1010.0
4,0.9596774193548387,0.9694501018329938,0.9645390070921985,982.0
5,0.9650507328072153,0.9596412556053812,0.9623383923552558,892.0
6,0.9698544698544699,0.9739039665970772,0.9718749999999999,958.0
7,0.9527638190954774,0.9221789883268483,0.9372219476025704,1028.0
8,0.9695982627578719,0.9168377823408624,0.9424802110817943,974.0
9,0.9287804878048781,0.9435084241823588,0.936086529006883,1009.0
accuracy,0.9564,0.9564,0.9564,0.9564
macro avg,0.9565138076756146,0.9562592781877267,0.9562358127467678,10000.0
weighted avg,0.956573848060192,0.9564,0.9563377020942669,10000.0
