,precision,recall,f1-score,support
0,0.9056974459724951,0.9408163265306122,0.9229229229229229,980.0
1,0.9388984509466437,0.9612334801762115,0.9499346974314322,1135.0
2,0.8931937172774869,0.8265503875968992,0.8585807750377453,1032.0
3,0.8428709990300679,0.8603960396039604,0.8515433610975013,1010.0
4,0.8392007611798288,0.8981670061099797,0.8676832267584851,982.0
5,0.836027713625866,0.8116591928251121,0.8236632536973834,892.0
6,0.8803501945525292,0.9446764091858038,0.9113796576032225,958.0
7,0.8959365708622399,0.8793774319066148,0.8875797741777123,1028.0
8,0.8618490967056323,0.8326488706365504,0.8469973890339427,974.0
9,0.8796592119275826,0.8186323092170465,0.8480492813141683,1009.0
accuracy,0.8787,0.8787,0.8787,0.8787
macro avg,0.8773684162080373,0.877415745378879,0.8768334339074515,10000.0
weighted avg,0.8787556178415007,0.8787,0.8781717953175099,10000.0
