,precision,recall,f1-score,support
0,0.9798183652875883,0.9908163265306122,0.9852866565195332,980.0
1,0.9841688654353562,0.9859030837004406,0.9850352112676056,1135.0
2,0.9829659318637275,0.9505813953488372,0.9665024630541872,1032.0
3,0.9328287606433302,0.9762376237623762,0.954039671020803,1010.0
4,0.9800420168067226,0.9501018329938901,0.9648397104446742,982.0
5,0.9832134292565947,0.9192825112107623,0.9501738122827347,892.0
6,0.9648033126293996,0.9728601252609603,0.9688149688149688,958.0
7,0.969488188976378,0.958171206225681,0.9637964774951077,1028.0
8,0.9112825458052073,0.9702258726899384,0.9398309298856289,974.0
9,0.9555335968379447,0.958374628344896,0.9569520039584365,1009.0
accuracy,0.9639,0.9639,0.9639,0.9639
macro avg,0.964414501354225,0.9632554606068394,0.9635271904743681,10000.0
weighted avg,0.9645897220175621,0.9639,0.9639501550686053,10000.0
